method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile
REIM (ACT + Detector + Recovery),34,6000076,metaworld,True,55,0.3920687320005527,1,1,1,41,0.3130566477775574,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),35,6000077,metaworld,True,54,0.32515056999909575,1,1,1,38,0.28529444336891174,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),36,6000078,metaworld,True,53,0.4253623360000347,1,1,1,34,0.3321176767349243,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),37,6000079,metaworld,True,51,0.3622031020004215,1,1,1,31,0.2507952153682709,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),38,6000080,metaworld,True,47,0.41881016899969836,1,1,1,28,0.22859768569469452,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),39,6000081,metaworld,True,64,0.40191339699958917,1,1,1,30,0.22053003311157227,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),40,6000082,metaworld,True,52,0.3515531890006969,0,0,0,0,0.12540066242218018,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),41,6000083,metaworld,True,54,0.5662536170002568,1,1,1,32,0.27562209963798523,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),42,6000084,metaworld,True,52,0.384997466000641,1,1,1,27,0.3031623661518097,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),43,6000085,metaworld,True,54,0.2887987250014703,0,0,0,0,0.16346806287765503,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),44,6000086,metaworld,True,52,0.3117691140014358,1,1,1,32,0.2978042960166931,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),45,6000087,metaworld,True,53,0.27916649500002677,0,0,0,0,0.19780844449996948,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),46,6000088,metaworld,True,64,0.535935841000537,1,1,1,50,0.2791985273361206,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),47,6000089,metaworld,True,52,0.23411977700015996,0,0,0,0,0.11729240417480469,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),48,6000090,metaworld,True,54,0.41460431099949346,1,1,1,44,0.3709312081336975,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),49,6000091,metaworld,True,54,0.3216502080013015,0,0,0,0,0.17819233238697052,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),50,6000092,metaworld,True,51,0.2779654499991011,0,0,0,0,0.12962710857391357,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),51,6000093,metaworld,True,56,0.26103777199932665,0,0,0,0,0.19766594469547272,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),52,6000094,metaworld,True,53,0.35738237499936076,1,1,1,43,0.3653586506843567,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),53,6000095,metaworld,False,200,1.681084773999828,1,0,1,150,0.9896951913833618,task_success_while_recovery_active_per_intervention,False,True,object_dropped,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),54,6000096,metaworld,True,58,0.5166418720000365,1,1,1,42,0.28876981139183044,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),55,6000097,metaworld,True,53,0.5190649100004521,1,1,1,45,0.4161994159221649,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),56,6000098,metaworld,True,44,0.6132495120000385,1,1,1,22,0.2037704885005951,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),57,6000099,metaworld,True,52,0.49866704099986237,1,1,1,43,0.40101251006126404,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),58,6000100,metaworld,True,52,0.2483506110002054,0,0,0,0,0.17486198246479034,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),59,6000101,metaworld,False,200,1.3506733379999787,1,0,1,150,0.996575653553009,task_success_while_recovery_active_per_intervention,False,True,object_dropped,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),60,6000102,metaworld,True,45,0.3542280940000637,1,1,1,37,0.2940216064453125,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),61,6000103,metaworld,True,48,0.41306427999916195,1,1,1,27,0.20663240551948547,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),62,6000104,metaworld,True,58,0.5546356229988305,0,0,0,0,0.165674090385437,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),63,6000105,metaworld,True,50,0.4794346910002787,0,0,0,0,0.16312167048454285,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),64,6000106,metaworld,True,52,0.4454615199992986,0,0,0,0,0.10022587329149246,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),65,6000107,metaworld,True,62,0.32398211599866045,0,0,0,0,0.1661897450685501,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),66,6000108,metaworld,True,51,0.29188937400067516,0,0,0,0,0.13331063091754913,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),67,6000109,metaworld,True,53,0.34801180499925977,0,0,0,0,0.1345893293619156,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),68,6000110,metaworld,True,57,0.346426469999642,0,0,0,0,0.07865229994058609,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),69,6000111,metaworld,True,55,0.7024955800006865,1,1,1,38,0.2318589836359024,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),70,6000112,metaworld,True,52,0.5051454580006975,0,0,0,0,0.18941468000411987,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),71,6000113,metaworld,True,53,0.6134310439992987,1,1,1,39,0.2538045346736908,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),72,6000114,metaworld,True,46,0.4066289889997279,1,1,1,39,0.5175304412841797,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),73,6000115,metaworld,False,200,1.8591468699996767,1,0,1,146,0.9690820574760437,task_success_while_recovery_active_per_intervention,False,True,timeout,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),74,6000116,metaworld,True,52,0.6154447240005538,1,1,1,27,0.20115229487419128,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),75,6000117,metaworld,True,54,0.5947863780002081,1,1,1,31,0.20385342836380005,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),76,6000118,metaworld,False,200,1.9830853050007136,1,0,1,150,0.9852103590965271,task_success_while_recovery_active_per_intervention,False,True,object_dropped,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),77,6000119,metaworld,True,56,0.6008060599997407,1,1,1,26,0.21347589790821075,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),78,6000120,metaworld,True,60,0.6663962879993051,1,1,1,40,0.36710894107818604,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),79,6000121,metaworld,True,59,0.27545857900076953,0,0,0,0,0.14099189639091492,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),80,6000122,metaworld,True,56,0.2693191079997632,0,0,0,0,0.1471080183982849,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),81,6000123,metaworld,False,200,1.5990132360002463,1,0,1,150,0.9994019269943237,task_success_while_recovery_active_per_intervention,False,True,timeout,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),82,6000124,metaworld,True,51,0.3282795260001876,1,1,1,33,0.3554213047027588,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),83,6000125,metaworld,True,49,0.47121175800020865,1,1,1,41,0.3635685443878174,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),84,6000126,metaworld,True,56,0.35609637800007476,0,0,0,0,0.17012284696102142,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),85,6000127,metaworld,True,49,0.29444735099968966,1,1,1,32,0.3277483284473419,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),86,6000128,metaworld,True,62,0.31721418900087883,0,0,0,0,0.16528818011283875,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),87,6000129,metaworld,True,52,0.30958890600049926,0,0,0,0,0.18156678974628448,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),88,6000130,metaworld,True,60,0.3580843729996559,0,0,0,0,0.1098279282450676,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),89,6000131,metaworld,True,45,0.40265475299929676,1,1,1,38,0.42814332246780396,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),90,6000132,metaworld,True,50,0.23295356299968262,0,0,0,0,0.15958239138126373,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),91,6000133,metaworld,True,50,0.3023845559982874,1,1,1,26,0.25446444749832153,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),92,6000134,metaworld,True,53,0.38867789300093136,1,1,1,36,0.36790022253990173,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),93,6000135,metaworld,True,53,0.24277930400057812,0,0,0,0,0.1263786107301712,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),94,6000136,metaworld,True,51,0.24013898900011554,0,0,0,0,0.19153866171836853,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),95,6000137,metaworld,True,57,0.3470772510008828,1,1,1,39,0.31614363193511963,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
