method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile
REIM (ACT + Detector + Recovery),147,6000189,metaworld,True,58,0.3935787619993789,0,0,0,0,0.11365169286727905,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),148,6000190,metaworld,True,51,0.35817435599892633,0,0,0,0,0.11606194078922272,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),149,6000191,metaworld,True,53,0.35884353400069813,0,0,0,0,0.15620024502277374,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),150,6000192,metaworld,True,50,0.2687889369990444,0,0,0,0,0.13729049265384674,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),151,6000193,metaworld,True,51,0.30461365900009696,0,0,0,0,0.17405110597610474,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),152,6000194,metaworld,True,51,0.20140228099990054,0,0,0,0,0.18026746809482574,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),153,6000195,metaworld,True,51,0.19731496599888487,0,0,0,0,0.1677646040916443,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),154,6000196,metaworld,True,51,0.205140020001636,0,0,0,0,0.16387145221233368,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),155,6000197,metaworld,True,51,0.2218978690016229,0,0,0,0,0.16387145221233368,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),156,6000198,metaworld,True,50,0.19342968500131974,0,0,0,0,0.10723678767681122,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),157,6000199,metaworld,True,58,0.22796550699968066,0,0,0,0,0.14487150311470032,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),158,6000200,metaworld,True,54,0.22428382900034194,0,0,0,0,0.09814134240150452,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),159,6000201,metaworld,True,50,0.2143372159989667,0,0,0,0,0.13729049265384674,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),160,6000202,metaworld,True,50,0.5047876970002108,1,1,1,40,0.2802259922027588,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),161,6000203,metaworld,True,50,0.20079056000031414,0,0,0,0,0.10723678767681122,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),162,6000204,metaworld,True,52,0.22177989200099546,0,0,0,0,0.1781063675880432,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),163,6000205,metaworld,True,55,0.23463482999977714,0,0,0,0,0.12435169517993927,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),164,6000206,metaworld,True,51,0.22221882399935566,0,0,0,0,0.16387145221233368,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),165,6000207,metaworld,True,55,0.24129419300152222,0,0,0,0,0.12435169517993927,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),166,6000208,metaworld,True,51,0.21743843300100707,0,0,0,0,0.17405110597610474,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),167,6000209,metaworld,True,55,0.2325287080002454,0,0,0,0,0.12435169517993927,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),168,6000210,metaworld,True,52,0.8230246389994136,1,1,1,43,0.3113192617893219,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),169,6000211,metaworld,True,56,0.37408352500096953,0,0,0,0,0.11033190786838531,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),170,6000212,metaworld,True,49,0.3649275169991597,1,1,1,41,0.373996376991272,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),171,6000213,metaworld,True,46,0.33307360999970115,1,1,1,27,0.21957214176654816,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),172,6000214,metaworld,True,52,0.3824485610002739,0,0,0,0,0.1781063675880432,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
