benchmark,threshold,task_macro_precision,task_macro_recall,task_macro_f1,micro_precision,micro_recall,micro_f1,predicted_positive_rate,precision_constraint_satisfied,selected,task_macro_auroc,task_macro_auprc,task_macro_ece,micro_auroc,micro_auprc,micro_ece
MT10,0.23,0.38193768476933837,0.8993537973064324,0.5309642285385692,0.36923563380984875,0.9091914928492398,0.5251858164086541,0.6293953137601994,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.24000000000000002,0.3860318202154137,0.8931355640084402,0.533742786669385,0.37312725364392,0.9032086218907511,0.5280925797254234,0.6187323899404007,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.25,0.3904431182902772,0.8865394302845075,0.5366882151467202,0.3772020546764574,0.8967340081137565,0.5310312192872829,0.6076609651098239,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.26,0.39489987855830744,0.8810814132051302,0.5398373389863901,0.381481091699993,0.8912428799737737,0.5342750107474052,0.5971656314482932,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.27,0.3997385540063906,0.8754404071445554,0.5432552217708848,0.3860382821296445,0.8851370733106585,0.5376076459754094,0.5860732578479328,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.28,0.4041712329465895,0.8696285884624306,0.5462105971235484,0.3904981986244041,0.8794410523296317,0.5408449994329709,0.5756512448806443,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.29000000000000004,0.4085447333836635,0.8633072303909046,0.5488579836809152,0.39471295455808525,0.8731303528254722,0.5436568687487242,0.5654177708414073,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.3,0.4128170500569722,0.8564736867500524,0.5512881376416914,0.3988641080795502,0.8662459533663894,0.5462203330706322,0.5551214504928198,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.31,0.4171689053253772,0.8504096253449402,0.5538300666313798,0.4030529953917051,0.860181125271483,0.5489062929016906,0.5455059651621958,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.32,0.4220294638052996,0.8448836838754673,0.5568734922637975,0.4077542720838384,0.8546080399950826,0.5520920197487723,0.535722889673304,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.33,0.42637705066203313,0.8387727242547619,0.5593063221363291,0.411957884680453,0.8481744047862968,0.5545642097366237,0.5262645201160562,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.34,0.431148745115096,0.8316945096431982,0.561716653858252,0.416599025974026,0.8412900053272139,0.55725201199734,0.5161776874653036,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.35000000000000003,0.43581278574653587,0.8254734802682739,0.5642273395844962,0.4211320598693459,0.8347744129820104,0.5598351082102371,0.5066669459835971,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.36000000000000004,0.44034358086329883,0.8191907502328639,0.5664967606425771,0.4256623004675062,0.8282997992050157,0.5623391617632739,0.4973866409695091,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.37,0.444403899901168,0.8110163149512901,0.5678243916028004,0.4297343155995618,0.8198991927222062,0.5639074434204222,0.4876768861748594,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.38,0.4482413957083521,0.803615534187563,0.5690150465981646,0.4334616562404305,0.8120722861943204,0.565222971720312,0.4788679284809,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.39,0.4519154025756425,0.7957118632818838,0.5699244530403933,0.43710733859109746,0.8039995082571815,0.5663236588780326,0.4701532402509663,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.4,0.45671150304867325,0.7883743738195108,0.5717717351627222,0.4418250431935983,0.7964184731385485,0.568349636648097,0.46074724261817723,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.41000000000000003,0.4613739455781336,0.7803425700765124,0.5732152998541337,0.44655416540934517,0.7883456952014096,0.570149961472349,0.4512469755213625,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.42000000000000004,0.4656579841345169,0.7719175808585341,0.5741879498731839,0.45072625168826863,0.779494324468303,0.5711797735939705,0.4420504655864084,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.43,0.4706978788850621,0.7641860978163137,0.5757594506990824,0.4556502372421807,0.7712986108265377,0.5728721218669629,0.4326758911082947,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.44,0.47522265729901914,0.7546449172315495,0.576296637598249,0.4601342481361306,0.7612588616153751,0.5735766333209832,0.422882341234511,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.45,0.4793501362089961,0.7464543172230174,0.5769016817757731,0.46442118039751173,0.7526123837233127,0.5743952211918872,0.41422002492903603,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.46,0.4835737889414874,0.7383947239920374,0.5775281016725969,0.468655637855834,0.7441298201040856,0.5751068883610451,0.40585099140053,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.47000000000000003,0.48794186467757905,0.7302192569998545,0.5781462390617101,0.47329713201180934,0.7357701921894849,0.5760438890582139,0.397356265253323,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.48000000000000004,0.4921312780137387,0.722281531414477,0.5786235667695443,0.477792732166891,0.7273695857066754,0.5767387454713825,0.3891233987284097,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.49,0.49645653833150866,0.7129288828882869,0.5786450642587847,0.48240707574463393,0.7174527722001394,0.5769078687228154,0.3801468508761823,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.5,0.5008135961692577,0.7043176229231443,0.5787210274016321,0.4868999323867478,0.7082325943531533,0.5770714035292742,0.37179876611745977,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.51,0.5051233958358318,0.6955305564424747,0.578598848411769,0.4916289657954644,0.6991353522107937,0.5773017967719013,0.3634925788983042,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.52,0.5095374765664434,0.6867380867576606,0.5784390009126266,0.49638802889576883,0.6898741957955989,0.5773517610343291,0.3552387636036074,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.53,0.5135045533662194,0.6773306754070184,0.5777696510420164,0.5010414465541703,0.680162275130107,0.577020684860073,0.3469849483089106,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.54,0.5171789940981985,0.6681610007074624,0.5768261756723208,0.505513172931402,0.670696225873868,0.5765058119056006,0.33912915964010015,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.55,0.5214674380140522,0.659084627370585,0.5761774213212064,0.5104430379746835,0.660984305208376,0.5760405692552185,0.33099056257921255,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.56,0.5259201738443919,0.6492199116451115,0.5751584591136325,0.5153314513773971,0.6508216202925869,0.5752055340262938,0.32281006797875794,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.5700000000000001,0.5304802043972863,0.6407129550535906,0.574556285830963,0.5206726934325977,0.6419702495594803,0.5749940357123193,0.3151532926228907,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.5800000000000001,0.5341627966331685,0.6294892175197997,0.572206641051408,0.5250563255274118,0.6302913576199648,0.5728811665456172,0.3068366310188434,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.59,0.5403704766888591,0.6201432273168466,0.571896153043181,0.5318282363681051,0.6207023726590993,0.5728386657590199,0.29832095610185294,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.6,0.5445065817792899,0.6100331964064083,0.569947320500532,0.5369616147053523,0.6104987091751014,0.5713737823118815,0.29061180882152693,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.61,0.5492333461930945,0.6000074006995924,0.5682664636093013,0.5429619474600763,0.6004999385321477,0.5702833125778332,0.28269317384336606,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.62,0.5541968357773777,0.5906954089902154,0.5667495081560424,0.5489509158067095,0.590747039298447,0.5690825832938575,0.2750678216421741,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.63,0.5584809752799755,0.5803274137111831,0.5641052198334574,0.554116450148693,0.5802975044051961,0.5669048619868292,0.26768338029349226,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.64,0.5634491216317595,0.5708535695763206,0.5621175334485751,0.5599034787854413,0.5705036266032865,0.5651538523991231,0.2604455803332949,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.65,0.5691688287821304,0.561138533123918,0.5601226954255651,0.5665879623876393,0.5605048559603327,0.5635299934080422,0.25286212567166994,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.66,0.5738953736139674,0.5495099415008188,0.5565181138024586,0.5721367521367522,0.548621071179773,0.5601322092755685,0.24510060646688522,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.67,0.5793459182375544,0.5373395677222461,0.5525893640287748,0.5784331063754532,0.5361226078760808,0.5564747665936496,0.2369096374815389,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.68,0.5850938028468164,0.5267041057972726,0.5493983852761168,0.5856287972226029,0.5253452444371594,0.5538514710329632,0.22929475966523866,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.6900000000000001,0.5903112257245909,0.5152648350656437,0.5450757221490267,0.591828058573453,0.5134204810883908,0.5498431088583152,0.2217427281582889,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.7000000000000001,0.595797002130264,0.5045605387126928,0.541092513180112,0.5981271946937183,0.5025611605130517,0.5461954706393212,0.21476678782038525,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
