method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,episode_specification_sha256,episode_bank_sha256,metaworld_task_sha256,retry_specification_sha256s,retry_task_sha256s,Profile,noise_level,Benchmark Eligible
ACT + Detector,845,8000887,metaworld,False,200,0.8233440190015244,0,0,1,0,0.8978913426399231,,False,True,timeout,17b501cd74ab22e9e704f17343fd388ad3f1bc123e383e15d673c55b82e4a9d4,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,cea0b9105255f82e0ee99bfb3998a6edce02b446d4b14afb0747282cd18aa202,,,full,0.2,True
ACT + Detector,846,8000888,metaworld,True,57,0.24947984900063602,0,0,0,0,0.15669037401676178,,True,False,,a7d45b843ceab50c65cdd78bacc69025c7fbfd553cc6225e2fa89bb1c83a6e0c,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,0cda21f8ffacf0a1e40e7b0e858a8e2ddc276972106d4bced99d4404b4a13fd8,,,full,0.2,True
ACT + Detector,847,8000889,metaworld,False,200,0.7904021479989751,0,0,1,0,0.9985706806182861,,False,True,timeout,ca9fa74a921c83620e14e30953205d89d86fda737901f20b5185a977b8c09e78,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,35aa26efb4a8651c1d8f46a573d3d4fea76add87b5c76a00531e1cea9ad04412,,,full,0.2,True
ACT + Detector,848,8000890,metaworld,True,51,0.20395720500164316,0,0,0,0,0.14449508488178253,,True,False,,0e01b74738208d3a6458cb504b7978a33afd7608ba1aa27d5fd4f71721aac781,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,5d73f28d4d24cdbcb36a5e5cd61ec1a82f7287ce56d88da8cea912ed757b164c,,,full,0.2,True
ACT + Detector,849,8000891,metaworld,True,53,0.2162903530006588,0,0,0,0,0.17299383878707886,,True,False,,31651fd3cc63438ad5fcd0e4856a4e06186a69f88c0e6ab124b0c9f81f86bc22,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,6943489118fc060756e24fd47685e2c10173293d54af0af7e8afa9e287c9c5f1,,,full,0.2,True
ACT + Detector,850,8000892,metaworld,False,200,0.8024832459996105,0,0,1,0,0.9899682402610779,,False,True,timeout,4186efdd7f1a10b0b260a88bbe72c5265621849f37a31d791a209502be1eb43f,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,cea0b9105255f82e0ee99bfb3998a6edce02b446d4b14afb0747282cd18aa202,,,full,0.2,True
ACT + Detector,851,8000893,metaworld,True,70,0.2939861730010307,0,0,1,0,0.22205501794815063,,True,False,,8e1bc3a71c72de008144c1348d8b50dd0cefc672b630d7810632d25f163421f9,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,38329c6b97bbe7d133bf007c22742dca5f0cd7258f8d7199135c6c2371ae591d,,,full,0.2,True
ACT + Detector,852,8000894,metaworld,False,200,0.7981329820031533,0,0,1,0,0.9945882558822632,,False,True,timeout,3eccebe22d38447297e32725c23880f83934e15454a4a8c64fb8092519ab21d3,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,71488b32995fa40c6ec3f77f6bcd912b1929aef29d90a66307ad46cd584acf29,,,full,0.2,True
ACT + Detector,853,8000895,metaworld,True,51,0.2079479159983748,0,0,0,0,0.18696007132530212,,True,False,,89c608d9284fe8e85cac718090dfe90675a9459d6f61dcf7eeffd2796b8ef28d,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,5e1df472084de78052388a34f03cad3de438ca9b5dc801b5759dd57c66a7482a,,,full,0.2,True
ACT + Detector,854,8000896,metaworld,True,56,0.22277304900126182,0,0,0,0,0.16873382031917572,,True,False,,9ebf4bc897e4543bfe2fa5b9d3635d09842bc1c66b1e42c98a26a41a4e290f85,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,3183afb500ebb9a5af177cccb5b5889a8321eb35261f8ec571269f8b5ed9cd1a,,,full,0.2,True
ACT + Detector,855,8000897,metaworld,True,58,0.23617290400216007,0,0,0,0,0.15638476610183716,,True,False,,75b6ea49c36dff70ef686d59b2b354538f81556c4aacf81d0abd6ed934501842,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,524e161a612d94c222d06154bcd0129d0851b8fad51ae883abbef6e86d43cbb0,,,full,0.2,True
ACT + Detector,856,8000898,metaworld,False,200,0.8062778560015431,0,0,1,0,0.9984329342842102,,False,True,timeout,fdf15d8641323ef72013f2399269716cece6c355954de3ccffdb50a5c1ad4037,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,35203d16cfa98b5f2e002fcb1ffde2400abf9459c161f6a289efa0c46eddb36f,,,full,0.2,True
ACT + Detector,857,8000899,metaworld,False,200,0.8273969549991307,0,0,1,0,0.6719950437545776,,False,True,timeout,019bf77b22f30a8a8e1068bd5daba3b5704410f5038fb98b7beb21fc468af743,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,c40fedd273cade53989af8adc3ca66d02f2d92ca4d97b2f6391a0dd0ab6dbca3,,,full,0.2,True
ACT + Detector,858,8000900,metaworld,False,200,0.7989794770001026,0,0,1,0,0.8182456493377686,,False,True,timeout,f9114c087b95dbca7762a633f33e48910ef471380ce60b8b922e514bb4a32dd2,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,742509487aeb71d366f1ddafa1cb12db2f7cfefe17c4ca89c98cffb67c1c8619,,,full,0.2,True
