method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,episode_specification_sha256,episode_bank_sha256,metaworld_task_sha256,retry_specification_sha256s,retry_task_sha256s,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile,Benchmark Eligible
ACT,11,8000053,metaworld,True,58,0.32201134400020237,0,0,0,0,0.0,,True,False,,09eb5f5e42a77a67a8205adf4f65b89b4e96825ce9fe2492fd082c249c7a73b0,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,06d355d7aff3b944ab4199c02a94c63d062e5c414c0b195f7b232b607e0ab1ed,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,12,8000054,metaworld,True,54,0.3005595569993602,0,0,0,0,0.0,,True,False,,a8ccd6b13cd60b7f9572268f8313460105d96fdd6bc540b34829c829f74bfaf7,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,742509487aeb71d366f1ddafa1cb12db2f7cfefe17c4ca89c98cffb67c1c8619,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,13,8000055,metaworld,True,59,0.329879824003001,0,0,0,0,0.0,,True,False,,98dd1143bc963d4ff37fb9d7b8126e0c91aaebaa69be9a57d4d854565b4b6119,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,e216352c7f1c7392270c7c501bb599f2a46f420613a124fda0729ab88160cdf2,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,14,8000056,metaworld,True,54,0.30129718099851743,0,0,0,0,0.0,,True,False,,11459011ad48e322f988de267687c0790436385ce87ad6ad626156195f55945f,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,64ee837add19202e84553431fdab118462cf5265eeae19a4d044b5a6818f771d,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,15,8000057,metaworld,True,50,0.2919321159970423,0,0,0,0,0.0,,True,False,,a2fb5cbbce2dd09ca46cc1a66a289c63746f8c499d3b14f8c5d5ca09d6f46029,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,c40fedd273cade53989af8adc3ca66d02f2d92ca4d97b2f6391a0dd0ab6dbca3,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,16,8000058,metaworld,True,55,0.34741079500236083,0,0,0,0,0.0,,True,False,,723b273ceb9d36e1e00e910bc1793d2f9bbd26d4d9a75b73a26a3dae8dca2a26,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,942fb6a87dc1e3eb7bf7bb111c97e7096138256b4a9a6b4c62a012fabe8bec38,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,17,8000059,metaworld,True,54,0.3013664880018041,0,0,0,0,0.0,,True,False,,aff0e935e89d4275f3d9003f432afb3c7b73021e8d0ba2624c29bb93dccac4b7,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,0f719f94ef165c0b816b8b10c3f4f5fcf802c9f5a25141035590310315749280,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,18,8000060,metaworld,True,57,0.3100680419993296,0,0,0,0,0.0,,True,False,,f6ca742d0d8ba58d1f33b66d0505d4620b5b1c6204484551e79009be22dc9817,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,b8e45a2f8f553d53c6eef0305347f910b9999bcae6df6ccaf0eaee6ac864e670,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,19,8000061,metaworld,True,58,0.32173342899841373,0,0,0,0,0.0,,True,False,,d53593b281f213b729d5b4b0eb8386731fbd2d30a18c07e3a3818208d9b570b0,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,06d355d7aff3b944ab4199c02a94c63d062e5c414c0b195f7b232b607e0ab1ed,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,20,8000062,metaworld,True,51,0.2949061039980734,0,0,0,0,0.0,,True,False,,f115e66431b3168ad312cc52a15a67f0242112dd970cdea5bb44a570635f74f0,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,5e1df472084de78052388a34f03cad3de438ca9b5dc801b5759dd57c66a7482a,,,0.0,0.0,0.0,0.0,0.0,0,full,True
