method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,episode_specification_sha256,episode_bank_sha256,metaworld_task_sha256,retry_specification_sha256s,retry_task_sha256s,Profile,noise_level,Benchmark Eligible
ACT + Random Reset,275,8000317,metaworld,False,200,0.8908500109973829,1,0,1,0,0.85,post_reset_task_success_per_reset,False,False,,97d1e4f028c73c9e3ad2af569b0ad7cafd88f27343ef326d69cdf205962fe321,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,0f719f94ef165c0b816b8b10c3f4f5fcf802c9f5a25141035590310315749280,debf1afc9b8c1e9e73f0ea88b41b9d95bdcab511be3ed270455acdd854398bfa,a0b103bf3e43f4aa92753185301eba5e2e31594285004b99f51a59b33bd2d620,full,0.2,True
ACT + Random Reset,276,8000318,metaworld,True,77,0.3530474930012133,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,5c4f5bc4c3962d9d0a917745fda30c6fc9b85921eddc1fd8a877279373d39030,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,5d73f28d4d24cdbcb36a5e5cd61ec1a82f7287ce56d88da8cea912ed757b164c,6ce1715be171f486697924d6a79d3d9461b335441374200c387baba92cb3b889,6cb8d983459a8e57d4ae53a86da2394015cabba2d7c306dcaf7b14af979ca230,full,0.2,True
ACT + Random Reset,277,8000319,metaworld,True,70,0.3201308269999572,1,1,1,0,1.0,post_reset_task_success_per_reset,True,False,,4d20feb35b0e3995d90d1362c7e580aedd0dfd8527201cb4266257144ced66f3,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,a0b103bf3e43f4aa92753185301eba5e2e31594285004b99f51a59b33bd2d620,bb5148a027c1a0baa93f76c57e4b1be255b8b5809d2c5daf4e23683f767fe914,e216352c7f1c7392270c7c501bb599f2a46f420613a124fda0729ab88160cdf2,full,0.2,True
ACT + Random Reset,278,8000320,metaworld,False,200,0.891463667001517,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,7947e7e69e25d138143c0ae68cc73ce4cf22d6b0cb1cc00b738a4d57235a7316,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,35aa26efb4a8651c1d8f46a573d3d4fea76add87b5c76a00531e1cea9ad04412,91f5626db690f37385808fc20cecac20782979a5f6626857430597e57b6f97a4,3183afb500ebb9a5af177cccb5b5889a8321eb35261f8ec571269f8b5ed9cd1a,full,0.2,True
ACT + Random Reset,279,8000321,metaworld,True,57,0.25376107999909436,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,8ae2759428c573487c26a45a64b9cfa1d540808c586ba605fd802b617a7646f0,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,0cda21f8ffacf0a1e40e7b0e858a8e2ddc276972106d4bced99d4404b4a13fd8,,,full,0.2,True
ACT + Random Reset,280,8000322,metaworld,True,75,0.3477530409982137,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,cfb8d0a1e6e9e2934e8fbae9eb72e4548b7013b9dd8d7530bc99b952b8e70550,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,20cf3cfee33051ea4ca25b64648f05450b0068ae0136ae52c3108d28b02f3691,0482fc3cfee1853f6bb56eede2c945852d4ddbb330bac928c818ba631f54760f,0cda21f8ffacf0a1e40e7b0e858a8e2ddc276972106d4bced99d4404b4a13fd8,full,0.2,True
ACT + Random Reset,281,8000323,metaworld,True,75,0.3559015589999035,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,452e20d692f62bdd12607994be2b77969885fff38091b77968aa8f68ee4c1772,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,6cb8d983459a8e57d4ae53a86da2394015cabba2d7c306dcaf7b14af979ca230,63c836971d3891bd8442c9e3b9fdc68b5241206a9e712e0742966edb4feee4a4,742509487aeb71d366f1ddafa1cb12db2f7cfefe17c4ca89c98cffb67c1c8619,full,0.2,True
ACT + Random Reset,282,8000324,metaworld,True,59,0.2786100900011661,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,8f3f143b7af54e58e6376ef308636318e50e7db149bcb3741259cea9d12f93e4,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,f6a9ed9055e00c868d6771022c2c557a6a48990bdacbed585d07cde857d4755a,,,full,0.2,True
ACT + Random Reset,283,8000325,metaworld,True,48,0.20924199899673113,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,c195abd7cee7e0de0b6be8ab485544ba8597c2b88bd81fbae0fcefe831f1a2c9,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,27e1ed8c670f23dae46752497e383610e58c248d638e3b9b707808a32ce33d4e,,,full,0.2,True
ACT + Random Reset,284,8000326,metaworld,True,52,0.2274382549985603,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,811707dc45c2ba3524fd301b964986cb00099774b6a955b41f27aedd42ffa913,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,15a9adece7ebea14bdf37f5376e274c6dce4711281025cf35060933ba9ab8ad3,,,full,0.2,True
ACT + Random Reset,285,8000327,metaworld,True,73,0.3284908039968286,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,56d88e6772e83f191826614164c0288a972e50d23b0980215802e1a912dc457e,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,6943489118fc060756e24fd47685e2c10173293d54af0af7e8afa9e287c9c5f1,a85b2e4840412862e1ee8eaf573c293195ddbf740109fdbd780b7095a52b96a3,2ad5907877cc42b4447b9630988e3a1f0da0d83e1f696f71e22dc69905e631b6,full,0.2,True
ACT + Random Reset,286,8000328,metaworld,True,57,0.2530475869971269,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,7779538051273cec52ebc804bbc0aed363d19ff44684188b1f969f427d383bdc,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,25805a097f1f4b8c203ec3c130dcd3e66b5fb3ad298114a08662aae6c86fa673,,,full,0.2,True
ACT + Random Reset,287,8000329,metaworld,True,71,0.32290359800026636,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,0eceb9faeee0e3e2ee29059b5193aebb8df4d360ff084ddd2892ed536e6cf482,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,2eb279a724955c1a9d173681940490ec9cc8ed4fdc15a95533884a23d4ccdb4e,a587f785e82a031f9ff678915b00ece77477e1135357c1948d08932cf3431a83,bb2c6b1aed959fa3ddddb1c215ce67cbb5b0ec080eb65fb58e06b7776849a096,full,0.2,True
ACT + Random Reset,288,8000330,metaworld,True,76,0.35058754299825523,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,9b4f1c650387a41c8fc8ce7d0b4893cd9dcedae9ebeb0465ae15f019c233ccc1,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,6943489118fc060756e24fd47685e2c10173293d54af0af7e8afa9e287c9c5f1,26c9e651f37b0d7912174caaf9ffda7361b437e56aa597340e6cd7fd8ec3c4d9,0cda21f8ffacf0a1e40e7b0e858a8e2ddc276972106d4bced99d4404b4a13fd8,full,0.2,True
ACT + Random Reset,289,8000331,metaworld,True,72,0.3285771390001173,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,8d551e683d8dff8a4ebe514aa548c8c0f27b0e0753223ee2d6d81fd4d63cd34c,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,942fb6a87dc1e3eb7bf7bb111c97e7096138256b4a9a6b4c62a012fabe8bec38,dd9079616de116572fa79a7ff2495fce9b6d9787a69403dde9f6333d1b364075,6943489118fc060756e24fd47685e2c10173293d54af0af7e8afa9e287c9c5f1,full,0.2,True
ACT + Random Reset,290,8000332,metaworld,False,200,0.8996160380011133,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,c5a2b5ace3a234b9bc1e141c73800f7444bb7d8e9f3248cb20c4af07182e2efe,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,39001749c902e2ab9d015efb8c7644faffff99810b709d3203dc359d5eacdcbd,9c519ab5e3f166029f3cfa31969ff7bef7deac2cc40cb0c18af1ceaa3b2f2baa,942fb6a87dc1e3eb7bf7bb111c97e7096138256b4a9a6b4c62a012fabe8bec38,full,0.2,True
