method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,episode_specification_sha256,episode_bank_sha256,metaworld_task_sha256,retry_specification_sha256s,retry_task_sha256s,Profile,noise_level,Benchmark Eligible
ACT + Heuristic Recovery,524,8000566,metaworld,True,53,0.118667328999436,1,1,1,33,0.85,task_success_while_recovery_active_per_intervention,True,False,,5e4a6a137f2d68856edb1f5d03c4f8d7ecface3248752f593ec82ebcd8d56a03,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,5e1df472084de78052388a34f03cad3de438ca9b5dc801b5759dd57c66a7482a,,,full,0.2,True
ACT + Heuristic Recovery,525,8000567,metaworld,False,200,0.3694175729979179,1,0,1,150,0.9,task_success_while_recovery_active_per_intervention,False,True,timeout,df740975eabd32158d9f2a58e7502b134366b518eb7f89b4a24753e91b963528,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,06d355d7aff3b944ab4199c02a94c63d062e5c414c0b195f7b232b607e0ab1ed,,,full,0.2,True
ACT + Heuristic Recovery,526,8000568,metaworld,True,55,0.12587542999972356,1,1,1,35,0.85,task_success_while_recovery_active_per_intervention,True,False,,b0a380cc99ada47d060adcc2c01067f8fa32f0643accb47c84b216873437d117,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,56b7f182edcfeefa9301e1edd53d7f36e4418de7e6df1b54b0f0c298cde1b3cd,,,full,0.2,True
ACT + Heuristic Recovery,527,8000569,metaworld,True,52,0.11968055800025468,1,1,1,32,0.85,task_success_while_recovery_active_per_intervention,True,False,,c5d9efd65468c2e6859c5ae5d7287d95854d87235b0ac768df3f08f7d06d901d,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,6943489118fc060756e24fd47685e2c10173293d54af0af7e8afa9e287c9c5f1,,,full,0.2,True
ACT + Heuristic Recovery,528,8000570,metaworld,True,50,0.12008634599988,1,1,1,30,0.85,task_success_while_recovery_active_per_intervention,True,False,,b87efa8ab59c25209fcde952f2fad7f9ed8b1f5130d617909afb03b402df08a9,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,e6e55bdbd77dc052facbc072d20b08a21d116978c37627b9a3d9dc7989dfbe62,,,full,0.2,True
ACT + Heuristic Recovery,529,8000571,metaworld,True,55,0.122430567000265,1,1,1,35,0.85,task_success_while_recovery_active_per_intervention,True,False,,6f94efdafa7dafbc957e3ed6374c9a9f62449f17ef74aeff98179547c355479a,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,aa1f17aacdf569c3a2930a2ebbf742ff43f8d3acfc772731a5c344cabcd52570,,,full,0.2,True
ACT + Heuristic Recovery,530,8000572,metaworld,True,58,0.12489179100157344,1,1,1,38,0.85,task_success_while_recovery_active_per_intervention,True,False,,3ac96bb2731ea2ca9293b69071f030851fcb7e8fd455e2e84302491b8aa09908,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,3183afb500ebb9a5af177cccb5b5889a8321eb35261f8ec571269f8b5ed9cd1a,,,full,0.2,True
ACT + Heuristic Recovery,531,8000573,metaworld,False,200,0.35562501400272595,1,0,1,150,0.9,task_success_while_recovery_active_per_intervention,False,True,timeout,e995047697ec9ac2cdadc9916581e867cb91c58325c647116561256a0c0caa33,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,0cda21f8ffacf0a1e40e7b0e858a8e2ddc276972106d4bced99d4404b4a13fd8,,,full,0.2,True
ACT + Heuristic Recovery,532,8000574,metaworld,True,58,0.25635302199953003,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,0a51cbc71054cb49607133d1a70fa821ecdcf18f5f704fcda7de412bac70858b,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,942fb6a87dc1e3eb7bf7bb111c97e7096138256b4a9a6b4c62a012fabe8bec38,,,full,0.2,True
ACT + Heuristic Recovery,533,8000575,metaworld,True,58,0.2622032350009249,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,d597c0ca857fd83d1dcd12a4c21b51d6cd1af8be018f75c98d8633f97f5dbd9c,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,8a99d46d6d04afe3e2ef92bb607dde5e178b5c37506006c4f364e345976453b1,,,full,0.2,True
ACT + Heuristic Recovery,534,8000576,metaworld,True,62,0.29219045999707305,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,de5b9715b70ab0b18f4703f2d2962260b43b93d82bbad97a9c59a0f5046c45d7,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,c5023b3d25031a103b9549b6e8c83ba09d69e708ef117c31128a38e03616e5d8,,,full,0.2,True
ACT + Heuristic Recovery,535,8000577,metaworld,True,56,0.2504174050009169,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,4529e4da480f395b23a663ca524df9d6b1814a3c1fda0c50e02fcbf6aa57a9df,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,524e161a612d94c222d06154bcd0129d0851b8fad51ae883abbef6e86d43cbb0,,,full,0.2,True
ACT + Heuristic Recovery,536,8000578,metaworld,True,52,0.12044139499994344,1,1,1,32,0.85,task_success_while_recovery_active_per_intervention,True,False,,f6e86e6e093b7031a733f523bbc6dd2f901a87b58ca0cc6c442d2fe0c67c4f39,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,bb2c6b1aed959fa3ddddb1c215ce67cbb5b0ec080eb65fb58e06b7776849a096,,,full,0.2,True
