method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,Noise Level,Benchmark Eligible
REIM (ACT + Detector + Recovery),28,7300070,metaworld,True,51,0.2543891880013689,0,0,0,0,0.15089671313762665,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),29,7300071,metaworld,True,58,0.28600693400221644,0,0,0,0,0.19495537877082825,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),30,7300072,metaworld,True,52,0.13608445599675179,1,1,1,39,0.23642173409461975,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),31,7300073,metaworld,True,48,0.12341387800188386,1,1,1,36,0.2617926299571991,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),32,7300074,metaworld,True,60,0.29990953499873285,0,0,0,0,0.10979464650154114,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),33,7300075,metaworld,True,56,0.2742349770014698,0,0,0,0,0.17045114934444427,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),34,7300076,metaworld,True,65,0.14234424099777243,1,1,1,57,0.4778493344783783,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),35,7300077,metaworld,True,55,0.27222075300232973,0,0,0,0,0.18495792150497437,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),36,7300078,metaworld,True,56,0.16521030900184996,1,1,1,36,0.25491732358932495,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),37,7300079,metaworld,True,53,0.1590542119993188,1,1,1,35,0.33774009346961975,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),38,7300080,metaworld,True,52,0.2585083249978197,0,0,0,0,0.19989776611328125,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),39,7300081,metaworld,True,49,0.24441828599810833,0,0,0,0,0.19724956154823303,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),40,7300082,metaworld,True,52,0.12275904299895046,1,1,1,43,0.32403549551963806,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),41,7300083,metaworld,True,56,0.2749847499981115,0,0,0,0,0.1681809276342392,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),42,7300084,metaworld,False,200,0.5061851520003984,1,0,1,150,0.9902310967445374,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),43,7300085,metaworld,True,64,0.20661779600050068,1,1,1,36,0.30586349964141846,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),44,7300086,metaworld,False,200,0.5035955410021415,1,0,1,150,0.987467348575592,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),45,7300087,metaworld,True,56,0.2691669270025159,0,0,0,0,0.12974856793880463,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),46,7300088,metaworld,True,51,0.11302372299905983,1,1,1,43,0.3508567214012146,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),47,7300089,metaworld,True,49,0.13702488399940194,1,1,1,33,0.32349464297294617,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),48,7300090,metaworld,True,59,0.2835139640010311,0,0,0,0,0.14324437081813812,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),49,7300091,metaworld,True,56,0.13175539800067781,1,1,1,44,0.28638994693756104,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),50,7300092,metaworld,True,49,0.11381913300283486,1,1,1,40,0.43224868178367615,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),51,7300093,metaworld,True,58,0.28476786600003834,0,0,0,0,0.1528635025024414,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),52,7300094,metaworld,True,60,0.2916448890027823,0,0,0,0,0.14062078297138214,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),53,7300095,metaworld,True,54,0.11725147799734259,1,1,1,46,0.42131397128105164,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),54,7300096,metaworld,True,52,0.2576789569975517,0,0,0,0,0.1771840900182724,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),55,7300097,metaworld,True,56,0.270988442000089,0,0,0,0,0.16306942701339722,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),56,7300098,metaworld,True,51,0.11484633399959421,1,1,1,42,0.2973870635032654,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),57,7300099,metaworld,True,59,0.28642518799824757,0,0,0,0,0.16196031868457794,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),58,7300100,metaworld,True,47,0.1319432649979717,1,1,1,31,0.3211681544780731,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),59,7300101,metaworld,True,48,0.14416246600012528,1,1,1,31,0.2807524800300598,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),60,7300102,metaworld,True,60,0.17019064899795922,1,1,1,40,0.2473938763141632,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),61,7300103,metaworld,True,53,0.13906157199744484,1,1,1,37,0.25776299834251404,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),62,7300104,metaworld,True,53,0.11728892600149265,1,1,1,45,0.3371969759464264,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),63,7300105,metaworld,True,57,0.28424524200090673,0,0,0,0,0.15584442019462585,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),64,7300106,metaworld,True,49,0.24181176800266257,0,0,0,0,0.15142950415611267,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),65,7300107,metaworld,True,57,0.2778945499994734,0,0,0,0,0.14676298201084137,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),66,7300108,metaworld,False,200,0.5055360449987347,1,0,1,150,0.9980989098548889,task_success_while_recovery_active_per_intervention,False,True,object_dropped,custom,0.2,False
REIM (ACT + Detector + Recovery),67,7300109,metaworld,True,47,0.13230570899759186,1,1,1,31,0.21569712460041046,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),68,7300110,metaworld,True,44,0.21648176300004707,0,0,0,0,0.1920279711484909,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
