method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,Noise Level,Benchmark Eligible
REIM (ACT + Detector + Recovery),93,7300135,metaworld,False,200,0.512999098002183,1,0,1,150,0.6984639167785645,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),94,7300136,metaworld,True,42,0.1136376200011,1,1,1,28,0.2648218870162964,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),95,7300137,metaworld,True,63,0.30259609800123144,0,0,0,0,0.15025533735752106,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),96,7300138,metaworld,True,50,0.151839710000786,1,1,1,31,0.25693443417549133,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),97,7300139,metaworld,True,50,0.1580327519986895,1,1,1,33,0.3144982159137726,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),98,7300140,metaworld,False,200,0.5134976070003177,1,0,1,150,0.9717811346054077,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),99,7300141,metaworld,True,56,0.26554797499920824,0,0,0,0,0.1417287290096283,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),100,7300142,metaworld,True,62,0.29489064700101153,0,0,0,0,0.18729250133037567,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),101,7300143,metaworld,True,49,0.13416943600168452,1,1,1,33,0.3427216708660126,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),102,7300144,metaworld,True,55,0.1591851470002439,1,1,1,34,0.25443124771118164,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
REIM (ACT + Detector + Recovery),103,7300145,metaworld,False,200,0.5037145480018808,1,0,1,146,0.9947260022163391,task_success_while_recovery_active_per_intervention,False,True,timeout,custom,0.2,False
REIM (ACT + Detector + Recovery),104,7300146,metaworld,True,54,0.2577667580007983,0,0,0,0,0.13807931542396545,task_success_while_recovery_active_per_intervention,True,False,,custom,0.2,False
